"Notes"	"Ten-Year Age Groups"	"Ten-Year Age Groups Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	"Underlying Cause of death"	"Underlying Cause of death Code"	Deaths	Population	Crude Rate
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	46	1826869	2.5
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Septicaemia, unspecified"	"A41.9"	35	1826869	1.9
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other viral infections of unspecified site"	"B34.8"	10	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Coagulation defect, unspecified"	"D68.9"	15	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Metabolic disorder, unspecified"	"E88.9"	15	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	17	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Encephalopathy, unspecified"	"G93.4"	22	1826869	1.2
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other secondary pulmonary hypertension"	"I27.2"	35	1826869	1.9
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Dilated cardiomyopathy"	"I42.0"	13	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Endocardial fibroelastosis"	"I42.4"	11	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Cardiac arrest, unspecified"	"I46.9"	10	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other specified cerebrovascular diseases"	"I67.8"	28	1826869	1.5
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Pneumonia, unspecified"	"J18.9"	14	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Interstitial pulmonary disease, unspecified"	"J84.9"	11	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Other disorders of lung"	"J98.4"	22	1826869	1.2
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by maternal hypertensive disorders"	"P00.0"	24	1826869	1.3
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by maternal injury"	"P00.5"	20	1826869	1.1
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by other maternal conditions"	"P00.8"	16	1826869	Unreliable
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by incompetent cervix"	"P01.0"	140	1826869	7.7
	"< 1 year"	"1"	"Female"	"F"	"2020"	"2020"	"Newborn affected by premature rupture of membranes"	"P01.1"	255	1826869	14.0
